2025/11/26 16:41:14 [2]: Started logging
2025/11/26 16:41:14 Frontend: gRPC server now listening on 5002... at logical time: 0 
2025/11/26 16:41:14 Backend: gRPC server now listening on 5012... at logical time: 0 
2025/11/26 16:41:14 [Node 2] Advertised on network (port 5012) as leader? false
2025/11/26 16:41:14 [Node 2] Advertised frontend on network (port 5002)
2025/11/26 16:58:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:52 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:58:57 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:20 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:39 [Node 2] Node 1 timed out (last seen 2025-11-26 16:59:24.9107369 +0100 CET m=+1090.735221601)
2025/11/26 16:59:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:44 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:59:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:53 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:59:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:24 [Node 2] Node 1 timed out (last seen 2025-11-26 17:00:09.9406857 +0100 CET m=+1135.765170401)
2025/11/26 17:00:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:24 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 17:00:25 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:39 [Node 2] Node 1 timed out (last seen 2025-11-26 17:00:25.1127324 +0100 CET m=+1150.937217101)
2025/11/26 17:00:40 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:40 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 17:00:48 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:48 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:00:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:17 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:26 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:30 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:44 [Node 2] Node 1 timed out (last seen 2025-11-26 17:01:30.1438234 +0100 CET m=+1215.968308101)
2025/11/26 17:01:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:44 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 17:01:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:01:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:05 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:17 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:29 [Node 2] Node 1 timed out (last seen 2025-11-26 17:02:17.5994465 +0100 CET m=+1263.423931201)
2025/11/26 17:02:35 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:35 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 17:02:35 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 17:02:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
